['c+', '*', '*', 'a+', '*', 'r+', '*', '*'] RRD RRD
['-', '*', '*', '*', '*', 't+', '*', '*'] RRD RRD
['*', 'a+', 't+', 't+', '*', 'r+', '*', '*'] RRD RRD
['-', '-', 't+', 'r+', '*', '*', 'r+', 'p+'] RRU RRU
['c+', '*', 'c+', 'p+', '*', 't+', '*', 'a+'] RRD RRD
['*', 'a+', 'a+', 'd+', '*', '*', '*', '*'] LDD LDD
['c+', '*', '*', '*', '*', 'd+', 't+', 't+'] RRD RRD
['c+', '-', '*', 'd+', 'a+', '*', 'a+', 'd+'] RUU RUU
['d+', '*', '*', '*', 'd+', '*', '*', '*'] RDD RDD
['*', '*', '*', 'a+', '*', '*', 'd+', 'a+'] RRU RRU
['p+', 'd+', 'r+', '*', '*', 'a+', 'd+', '*'] LLD LLD
['*', '-', '*', '*', 'd+', 'p+', '*', '*'] RDD RDD
['*', 'p+', '-', '*', '*', '*', 'a+', '*'] RRU RRU
['a+', '*', '-', 'r+', '*', '*', '*', '*'] LDD LDD
['*', '*', '*', 't+', 'd+', '*', '*', '*'] RDD RDD
['*', 'r+', '*', 'p+', '*', '*', 't+', '*'] LLU LLU
['a+', '*', 'd+', '*', '*', '*', 't+', '*'] LLD LLD
['t+', '*', '*', '*', 'c+', '*', '*', '*'] LUU LUU
['*', 'p+', '*', 'p+', '*', '*', '*', 't+'] RUU RUU
['*', 'p+', 'c+', 'p+', '*', 'c+', '*', '-'] RRD RRD
['*', '*', 'p+', 'c+', '*', 'p+', 'c+', 'r+'] RUU RUU
['*', 'a+', 'd+', '*', '*', '*', 'd+', 'r+'] RUU RUU
['d+', 'c+', '*', 'p+', '*', '*', '*', '*'] LUU LUU
['c+', '*', '*', '*', '*', '*', 'a+', 'd+'] RUU RUU
['d+', '*', 'r+', '*', 'p+', '-', 'a+', 'd+'] LLD LLD
['r+', '*', 'd+', 'c+', '*', 'c+', '*', 'r+'] RUU RUU
['-', '*', '*', 'c+', '*', '*', '*', '*'] LDD LDD
['*', '*', 'r+', '*', '-', '-', 'r+', 'r+'] RUU RUU
['t+', '*', 'c+', '*', '*', 'r+', 'a+', '*'] RRD RRD
['*', '*', '*', '*', '*', '*', 'p+', 'a+'] RUU RUU
['*', '*', 'a+', '*', '*', 't+', '*', '*'] RRD RRD
['*', '*', '-', '*', 'd+', '*', '*', 't+'] RDD RDD
['a+', '*', 'r+', '*', '*', 't+', '*', 't+'] LLD LLD
['d+', '*', '*', 't+', '*', 'r+', 'c+', 'd+'] RRD RRD
['*', 't+', '*', 't+', 'd+', '*', 'c+', '*'] RDD RDD
['*', '*', '*', 'r+', 'a+', '*', '*', 'd+'] LDD LDD
['p+', 'c+', '*', '-', 't+', '-', '*', '*'] RDD RDD
['*', 'd+', 't+', 'a+', 'p+', '*', 't+', '*'] LLU LLU
['*', 'd+', '*', '*', '*', '*', 'c+', '*'] LLU LLU
['*', 'p+', '*', '*', '*', '*', '*', '*'] LLU LLU
['*', '*', 'p+', '*', '*', 'r+', 'd+', 'd+'] RRD RRD
['r+', '*', 'a+', 't+', '*', '*', 'd+', '*'] LUU LUU
['*', '-', '*', 'd+', 'r+', 'a+', 'p+', '-'] RDD RDD
['*', '*', 'r+', '*', 'r+', '*', '*', '*'] RDD RDD
['t+', '*', 'c+', '*', '*', 'p+', 'd+', '*'] RRU RRU
['*', 't+', 'a+', '*', 'd+', '*', 'c+', '*'] RDD RDD
['*', '*', '*', '*', '*', '-', '*', '*'] RRD RRD
['r+', '*', 'p+', '*', 'p+', 'p+', 'p+', '*'] LUU LUU
['r+', 'd+', 'r+', 'a+', '*', '*', 'c+', 'a+'] LLD LLD
['a+', '*', 'c+', 'r+', '*', 'r+', 'r+', '*'] RRU RRU
['*', 't+', '*', '-', 'p+', '*', '*', '*'] LLU LLU
['*', '*', '*', '*', '*', '*', 'p+', 'a+'] RUU RUU
['c+', '*', '*', '*', 'c+', '*', 'a+', '*'] RRU RRU
['*', 'r+', 'd+', '-', 't+', 'r+', 'a+', 'a+'] RRD RRD
['-', 'a+', '*', 'd+', 'd+', 'r+', 'a+', 't+'] RRD RRD
['*', '-', '*', '*', 'r+', 'p+', '-', '*'] RDD RDD
['p+', 'a+', '*', 'c+', 'p+', 't+', '-', 't+'] RUU RUU
['p+', '*', 'd+', '*', 't+', '*', '*', '*'] LLD LLD
['p+', 'c+', '*', 'p+', '*', 'c+', 'a+', 'c+'] RRU RRU
['*', '*', '*', '*', '*', '*', '*', 't+'] RUU RUU
['*', '*', '*', 'a+', 't+', '*', 't+', 'a+'] RRU RRU
['t+', 'c+', '*', '*', 't+', '*', '*', '*'] RDD RDD
['*', 'c+', 'd+', '*', '*', 'c+', '*', '*'] LLD LLD
['*', '*', 'p+', 'c+', '*', 'd+', 'c+', 't+'] RRD RRD
['*', 't+', '*', 'c+', '*', '*', '-', '*'] LLU LLU
['a+', '*', '-', '-', '*', 'd+', '*', '*'] RRD RRD
['*', 't+', '-', '*', '*', 'd+', '*', 'r+'] RUU RUU
['c+', '*', '*', 'a+', 'p+', '*', '*', 'a+'] RUU RUU
['r+', '*', '-', 'r+', '*', '-', '*', 't+'] LDD LDD
['*', 'c+', 'r+', '*', 'a+', 'a+', 't+', 'p+'] LLD LLD
['r+', '*', '*', '*', '-', 'd+', 'r+', '*'] RRU RRU
['-', '*', '*', 'p+', '*', '*', '-', 'c+'] RUU RUU
['d+', '*', '*', 'c+', 'a+', '*', 'c+', '*'] LUU LUU
['t+', 'd+', 'p+', '*', 'd+', 'r+', '*', '*'] RRD RRD
['t+', '*', 'r+', 'r+', '*', 'd+', '*', 'a+'] LDD LDD
['*', '-', 'c+', '-', '*', '*', '-', 'a+'] RUU RUU
['*', 't+', '*', 'c+', '*', '*', '-', 't+'] RUU RUU
['*', 'd+', 'r+', 't+', '*', 'd+', 'r+', '*'] RRU RRU
['*', '*', '-', '*', 'd+', '*', '*', 't+'] RDD RDD
['*', '*', '-', 'r+', 'r+', '*', '*', 'r+'] RUU RUU
['*', 'c+', '*', '*', '*', 'r+', '*', '*'] RRD RRD
['t+', '*', 'r+', 't+', '*', '-', '*', '*'] LLD LLD
['*', '*', 'd+', '*', '*', 'd+', 'c+', '*'] RRD RRD
['r+', 'p+', '*', 'r+', 'd+', 'p+', '*', '-'] LDD LDD
['r+', 'c+', 't+', '*', '-', '*', '*', 't+'] LUU LUU
['*', 't+', '*', '*', 'c+', 'c+', '*', 'p+'] LLU LLU
['*', 'a+', '*', '*', '*', 'a+', 't+', '*'] RRU RRU
['d+', 'c+', 'p+', '*', '*', '*', '*', 'd+'] RUU RUU
['-', '-', '*', '-', 'a+', '*', 'd+', '-'] RRU RRU
['-', 'c+', '*', '*', '*', '*', '*', '*'] LLU LLU
['*', 'r+', '*', 'r+', '*', 'c+', '*', '*'] LDD LDD
['*', 't+', '-', 'r+', 'p+', 't+', '*', '*'] LDD LDD
['*', 'r+', '*', 'r+', '*', '*', 'r+', 'p+'] RRU RRU
['*', '*', '*', '*', 'a+', '*', '*', '*'] RDD RDD
['*', 'p+', 'p+', 'p+', '*', '*', 'p+', 'r+'] RUU RUU
['-', '*', '*', '-', '-', '*', 't+', '*'] RRU RRU
['*', 'a+', 'p+', '*', '*', '*', '*', 'r+'] RUU RUU
['d+', '*', 'p+', 'c+', 'c+', '*', 't+', 'c+'] LUU LUU
['*', '*', 'a+', 't+', '-', 'd+', '*', '*'] RRD RRD
['-', 'd+', '*', '*', '-', '*', '*', '*'] LLU LLU
['r+', '*', '*', 'a+', '*', '*', '*', 'r+'] RUU RUU
['*', '*', '*', '*', '*', 'c+', 'c+', '*'] RRU RRU
['*', '*', 'p+', '*', '*', '*', '*', '*'] LLD LLD
['r+', '*', '*', '*', '-', 'c+', '*', 'a+'] LUU LUU
['a+', '*', 'a+', '-', '*', 'p+', '*', '-'] LLD LLD
['p+', '-', 'p+', '*', '*', 'r+', 'r+', '*'] RRU RRU
['-', 'a+', '*', 't+', '-', '*', '*', 't+'] RUU RUU
['*', '*', '*', 'a+', 'p+', 't+', 'c+', '*'] RRD RRD
['*', '*', '-', 'a+', 't+', 't+', '*', 'a+'] RRD RRD
['*', 'c+', '-', '*', '*', '*', '*', 'p+'] LLU LLU
['*', '*', 't+', '*', '-', '*', '*', 't+'] RUU RUU
['*', '*', 'p+', 't+', '*', 'r+', '*', 'r+'] RUU RUU
['*', '*', '*', 'd+', 'c+', 't+', 'p+', '*'] LDD LDD
['d+', '*', '*', '-', '*', '*', '*', '*'] LUU LUU
['*', 'c+', '-', '*', '*', '*', 'r+', 't+'] RRU RRU
['c+', '*', 'r+', '*', 'c+', '*', 'r+', 't+'] RRU RRU
['*', 'd+', '*', 'r+', '*', '*', 'a+', '*'] LDD LDD
['c+', 'c+', '*', 't+', 'a+', '*', 't+', 'p+'] RRU RRU
['r+', '*', 'p+', '*', 'd+', '*', '*', 'd+'] LUU LUU
['t+', '*', '*', 'r+', '*', '*', '*', 'a+'] LDD LDD
['r+', 'a+', '*', '*', '*', '*', '*', '*'] LUU LUU
['p+', '*', 'p+', 't+', 'c+', '*', '*', 't+'] RUU RUU
['*', '-', 'r+', 't+', '-', '*', '-', '*'] LLD LLD
['t+', 'p+', '*', '*', 'p+', '*', 'd+', '*'] RRU RRU
['p+', '*', '-', '*', 'a+', '*', '*', '*'] RDD RDD
['a+', '*', '*', 'r+', '*', 'd+', 'd+', 'r+'] RUU RUU
['*', 'r+', 't+', '*', '-', '*', '*', 't+'] LLU LLU
['*', 'a+', 'p+', 'c+', '*', '*', 'a+', '*'] RRU RRU
['*', '*', '*', '-', '-', '*', '*', 'p+'] RUU RUU
['*', 'p+', '*', '*', 'r+', '*', 'r+', '*'] RRU RRU
['*', 'p+', '*', 'd+', '*', 'r+', '*', 'd+'] RRD RRD
['p+', '*', '*', 'a+', '-', '*', '*', '*'] LDD LDD
['*', 'p+', 'p+', '-', '*', 'c+', '*', '*'] RRD RRD
['r+', 't+', '*', 'c+', '*', 'p+', '*', '*'] LUU LUU
['-', 't+', 't+', 't+', 'c+', 'a+', 'p+', '*'] LDD LDD
['t+', '*', '*', '*', '*', 'd+', '*', '-'] RRD RRD
['c+', '*', '*', 'd+', '*', '*', 'c+', 'r+'] RUU RUU
['t+', 'c+', '*', 'a+', 't+', 'd+', '*', '*'] RRD RRD
['*', '*', 'r+', '-', '*', 'p+', 'r+', '*'] RRU RRU
['p+', 'p+', 'p+', '*', '*', 'p+', '*', '*'] RRD LLU
['*', 'p+', '*', '*', 'p+', '*', '*', 'd+'] RUU RUU
['c+', 'd+', '*', '*', '*', '*', 'c+', '*'] LLU LLU
['r+', '*', 't+', '*', 'd+', '*', '-', 't+'] LUU LUU
['d+', 'a+', '*', '*', '*', 'a+', 'c+', 'c+'] LUU LUU
['*', '*', 'c+', 'r+', '-', '*', '*', '*'] LDD LDD
['*', '*', 'p+', '*', '*', '-', '*', '*'] LLD LLD
['-', '*', '*', '*', '*', '*', 'p+', 'd+'] RUU RUU
['p+', '*', '*', 'd+', '*', '-', 'r+', '*'] RRU RRU
['*', '*', 'r+', 'd+', 'd+', '*', '*', 'p+'] LLD LLD
['*', '*', 'r+', '*', 't+', 'c+', 'a+', '*'] LLD LLD
['p+', '*', 't+', '*', 'd+', 'd+', 'c+', 'p+'] RRD RRD
['*', '*', 'p+', '*', 'd+', 'c+', 't+', '*'] RDD RDD
['*', '*', '*', '-', 'd+', '*', 'a+', '*'] RDD RDD
['*', '*', '-', 'r+', '*', '-', '*', 't+'] LDD LDD
['a+', 'p+', '*', '-', 'c+', 'p+', 'p+', '*'] LUU LUU
['*', '*', 'r+', '*', '*', '*', '-', '*'] LLD LLD
['p+', '*', 't+', '*', '*', '*', '-', '*'] LLD LLD
['*', '*', '*', 'p+', '*', '*', 'r+', 't+'] RRU RRU
['d+', 'p+', '*', '*', '*', '-', '*', 'r+'] RUU RUU
['*', '*', '*', '*', '*', 'r+', '*', '*'] RRD RRD
['*', 'c+', 'd+', 'd+', 'c+', '*', '*', '*'] LDD LDD
['*', 't+', '*', '*', 'r+', '*', '*', '*'] RDD RDD
['r+', 'd+', 'a+', '*', '*', '-', '*', 'c+'] LUU LUU
['c+', 'r+', 'c+', '-', '-', 't+', '*', '*'] LLU LLU
['*', 'p+', 'd+', '*', 'r+', 'p+', 'd+', 'c+'] RDD RDD
['*', '*', '*', 'c+', '*', 'p+', '*', 'c+'] RUU RUU
['d+', 'r+', 'a+', '*', '*', 'r+', '*', 'r+'] RUU RUU
['r+', 't+', '*', '*', '-', '*', '*', 'r+'] RUU RUU
['*', 'a+', '*', '-', 'a+', 'c+', '*', 't+'] RUU RUU
['*', 'p+', 'r+', '*', 'd+', 'c+', '*', '*'] LLD LLD
['*', '*', '*', 'p+', 'a+', 'c+', '*', 'r+'] RUU RUU
['*', 'r+', '*', '*', 'c+', '*', '*', 'd+'] LLU LLU
['p+', '*', '*', 't+', 'p+', 'd+', '*', '*'] RRD RRD
['*', '*', 'c+', '*', 'a+', 'c+', 'a+', '*'] RRU RRU
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['p+', 't+', '-', '-', 'p+', 'a+', 'r+', '*'] RRU RRU
['*', 't+', '*', '*', '*', '*', '*', '*'] LLU LLU
['*', 'd+', 'a+', 'a+', '*', 'd+', '-', '*'] RRD RRD
['r+', '*', 'd+', '*', 't+', '*', 'a+', 'r+'] RUU RUU
['*', '*', '*', '*', '*', '-', 't+', '*'] RRU RRU
['r+', '*', 'p+', '*', '*', '*', '*', 'r+'] RUU RUU
['*', '*', '*', '-', '*', '-', 't+', 't+'] RUU RUU
['-', '*', '*', 'a+', '*', '*', 'r+', 'r+'] RUU RUU
['a+', '*', 'c+', 'p+', '-', '*', '*', '*'] LUU LUU
['*', '*', '-', 'd+', '*', 'a+', '*', '*'] LDD LDD
['*', 'p+', 'd+', '*', 'c+', '*', '*', '*'] LLD LLD
['*', 'd+', 'p+', '*', '*', '*', '*', '*'] LLU LLU
['*', 'a+', 't+', 'p+', 'c+', '-', '*', '*'] LLD LLD
['*', 'c+', 'p+', '*', 'c+', '*', 'd+', 'p+'] RRU RRU
['c+', '-', '*', '*', 'c+', 'r+', '*', 't+'] RRD RRD
['*', 'c+', 'd+', 't+', '*', 't+', 'p+', 'r+'] RUU RUU
['*', '*', 'c+', '*', '*', 'c+', '*', '*'] RRD RRD
['d+', '*', 'd+', 'p+', '*', '*', 'r+', '*'] RRU RRU
['*', '*', '-', 'a+', '*', 't+', 'p+', '*'] RRD RRD
['*', '*', '*', '*', 'c+', '-', '*', '*'] RDD RDD
['a+', '*', 'a+', 'd+', '*', 'r+', 'r+', '*'] RRU RRU
['a+', '*', 'c+', 'c+', 'd+', '*', 'd+', '*'] RRU RRU
['*', 'p+', '*', 'c+', '*', '*', '-', 't+'] RUU RUU
['-', '*', '*', '-', '*', 'r+', '-', '-'] RRD RRD
['*', '*', '*', 't+', '*', 'd+', '*', 'd+'] RUU RUU
['*', '*', 'c+', '*', '*', '*', 'c+', '*'] RRU RRU
['p+', 'c+', '*', 'c+', 'd+', '*', '*', 'c+'] RDD RDD
['-', '*', 't+', 'd+', '-', '*', '*', '*'] LDD LDD
['r+', 'p+', '*', 'p+', 't+', '*', '*', '*'] LUU LUU
['c+', '*', '*', '*', 'r+', 'a+', 't+', 'a+'] RDD RDD
['*', '-', '*', 'r+', '*', '*', 't+', 't+'] LDD LDD
['*', 'c+', '*', '*', '-', '*', '*', 't+'] RUU RUU
['r+', 'd+', '*', '*', '*', '*', '*', 'd+'] LUU LUU
['*', '*', 'a+', 't+', 't+', 'c+', '*', '*'] RDD RDD
['*', 't+', 'r+', '*', 'd+', 'c+', 't+', 'c+'] LLD LLD
['*', 't+', '*', '*', '*', 'p+', '*', '*'] LLU LLU
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['*', '-', 'd+', '*', 'd+', 'p+', '*', '*'] RDD RDD
['*', 'd+', 'a+', 'p+', '*', '*', '-', '*'] LLU LLU
['*', 'c+', '*', '*', 'a+', '*', 'a+', '*'] RRU RRU
['p+', '*', '-', '*', '*', 't+', 't+', '*'] RRU RRU
['d+', 'a+', 'a+', '*', 't+', '*', '*', '*'] LUU LUU
['a+', '*', '*', 'r+', '-', 'a+', '*', '*'] LDD LDD
['c+', '-', '*', 'p+', 'r+', 'a+', 'p+', '-'] RDD RDD
['p+', '*', '*', '-', '*', '*', 'd+', '*'] RRU RRU
['*', 'd+', '-', 't+', '*', 'd+', 'd+', 'p+'] RRU RRU
['*', '*', 'a+', '*', 'd+', '*', '*', '*'] RDD RDD
['r+', 'p+', 'r+', '*', 'a+', 'r+', '*', '*'] RRD RRD
['d+', '*', '*', 'c+', '*', '*', '*', '*'] LUU LUU
['*', 'r+', '*', 't+', 'd+', '*', 'r+', 'c+'] RRU RRU
['*', '-', '*', 't+', 'p+', 'c+', 'p+', '*'] LDD LDD
['*', '*', '*', 'c+', '*', '*', '*', 'r+'] RUU RUU
['p+', '*', '*', 'r+', '*', '-', '*', '*'] LDD LDD
['-', 'd+', 't+', 'a+', '*', '*', 't+', 'd+'] RUU RUU
['r+', '*', '*', 'd+', 'd+', 'p+', 'p+', '*'] LUU LUU
['c+', 't+', '*', 'd+', '*', '*', '*', '*'] LDD LDD
['*', 'r+', '*', '*', 't+', 'c+', '*', '*'] LLU LLU
['a+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['*', '*', 'd+', '*', 't+', '*', 't+', 'r+'] RUU RUU
['*', 'r+', '*', 'a+', '*', '*', '*', 'r+'] RUU RUU
['p+', '*', 'd+', '*', '*', 'd+', '*', '*'] RRD RRD
['r+', '*', 'p+', '*', 'd+', 't+', '*', '*'] LUU LUU
['-', 'p+', '*', 'p+', '*', 'r+', '*', '*'] RRD RRD
['*', '*', 'c+', '-', '*', '*', '*', '-'] LLD LLD
['*', '*', 'r+', 'd+', 'd+', '*', '*', 'r+'] RUU RUU
['-', 'a+', 'c+', '*', 'd+', 'd+', 'd+', '*'] RRU RRU
['*', 't+', 'c+', 't+', 'r+', '*', '*', '*'] RDD RDD
['*', '-', '*', 't+', 'r+', '*', '*', 'p+'] RDD RDD
['*', '*', '*', '*', 't+', 'r+', 'r+', 'r+'] RUU RUU
['*', '*', 'r+', '*', 'a+', 'p+', '*', '*'] LLD LLD
['*', 'c+', '*', 'a+', 'r+', '*', 'd+', '*'] RDD RDD
['r+', 'a+', '-', 'c+', '*', 'r+', '*', '*'] RRD RRD
['p+', 'd+', 'c+', 'a+', 'd+', 't+', '*', '*'] RDD RDD
['c+', 't+', 't+', 'c+', '*', '*', '-', 'a+'] LLD LLD
['p+', '-', '*', 'd+', '*', 'p+', 'r+', '*'] RRU RRU
['*', '*', '*', 'c+', 't+', '*', '*', '*'] RDD RDD
['a+', '*', '-', 't+', '*', '*', 'p+', 't+'] RUU RUU
['*', 'c+', 'p+', '-', '*', '*', 't+', '*'] RRU RRU
['*', '*', 't+', 'a+', '*', '-', '-', 'd+'] RUU RUU
['*', 'c+', '*', '-', '*', '*', 'a+', '*'] RRU RRU
['*', 'c+', 't+', 't+', '-', '*', '*', '*'] LDD LDD
['*', '*', 'd+', 'r+', '*', 'p+', '*', 'r+'] RUU RUU
['*', 't+', '*', '*', 't+', '*', '*', 't+'] RUU RUU
['*', 'd+', 'd+', '*', 'c+', '*', '*', '-'] LLD LLD
['a+', '*', 't+', '*', '-', '*', '*', '*'] LLD LLD
['*', 'c+', '*', '*', 't+', '*', '*', 'p+'] RDD RDD
['*', '*', 'a+', 't+', '*', 'a+', 'd+', 'd+'] RUU RUU
['r+', 'c+', 't+', 'a+', '*', '*', '*', 'c+'] LUU LUU
['-', '*', 'r+', 'p+', '-', 'a+', 'p+', 'r+'] RUU RUU
['*', 'r+', 'd+', '-', '*', '*', '*', '*'] LLU LLU
['*', '*', '*', '*', 'a+', 'd+', '-', 'a+'] RRD RRD
['*', '*', '*', '*', 'a+', '*', 'c+', '*'] RDD RDD
['d+', 't+', '*', '*', '*', '*', 't+', '-'] LUU RRU
['r+', '*', '*', 'a+', 'a+', '*', 't+', 'r+'] RUU RUU
['*', '*', '*', '*', 'c+', '*', 'p+', '*'] RDD RDD
['t+', 'p+', 'a+', 't+', '*', 'd+', 'p+', '*'] RRD RRD
['a+', 't+', 't+', '*', 'a+', '*', 'a+', '*'] LLD LLD
['p+', '-', '*', '*', 't+', 'p+', '*', '-'] RDD RDD
['d+', '*', '*', '*', 'p+', '*', '*', '-'] LUU LUU
['*', '*', '*', '*', 'r+', 'c+', 't+', '*'] RDD RDD
['p+', '*', '*', 't+', '*', 'r+', '*', '*'] RRD RRD
['*', '*', 'r+', '*', 'd+', 'p+', '-', '-'] LLD LLD
['t+', '*', '*', '*', '*', '*', 'p+', 'c+'] LUU LUU
['r+', '*', 'd+', '*', '*', 'p+', '*', 'c+'] LUU LUU
['a+', 't+', 'd+', 'c+', 'p+', '*', 'd+', '*'] RRU RRU
['-', 'd+', '*', '*', '*', '*', 'p+', '-'] LLU LLU
['*', '*', 'c+', '*', 'r+', '-', '*', '*'] RDD RDD
['*', '*', 'a+', 'd+', '*', '*', 't+', 'r+'] RUU RUU
['*', '-', 'p+', 'a+', 'a+', 't+', 'a+', 'c+'] RRD RRU
['*', 'c+', 'c+', '*', 'a+', '*', 'c+', 'a+'] RUU RUU
['c+', 'd+', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['p+', '*', 'c+', '*', '*', '*', 'd+', '*'] RRU RRU
['p+', 'r+', '*', '*', 'a+', '*', '*', '*'] LLU LLU
['p+', '-', '*', '*', 'a+', '-', '*', '*'] RDD RDD
['*', 'p+', 'c+', 'a+', '*', '*', '*', 'c+'] LDD LDD
['*', 'r+', '*', '*', 't+', '-', 'p+', '*'] LLU LLU
['*', '*', '*', 'c+', '*', '*', '-', '*'] LDD LDD
['*', '*', '*', '*', 'c+', '*', 't+', '-'] RRU RRU
['*', '*', '*', '*', '*', '*', 'c+', '*'] RRU RRU
['*', 'c+', '-', 'r+', 'p+', '*', '*', '-'] LDD LDD
['t+', '*', 'a+', '*', '*', '*', '*', '-'] LUU LUU
['r+', '*', '-', '*', '*', '*', '-', 'a+'] LUU LUU
['*', '-', 'p+', '-', '*', '*', '*', 'd+'] RUU RUU
['*', 'p+', '-', '*', 'r+', '-', 'a+', 'a+'] RDD RDD
['*', 't+', '*', 'p+', 'a+', '*', 'r+', '*'] RRU RRU
['c+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['d+', '*', '*', 'p+', '*', '*', '*', '*'] LUU LUU
['*', 'c+', '*', '*', '*', '-', 'p+', '*'] LLU LLU
['a+', '*', 't+', 'r+', '*', '*', 'c+', 'a+'] LDD LDD
['*', 'a+', 't+', '*', '*', '*', '*', '*'] LLD LLD
['*', '-', '*', '*', '*', '*', 'r+', 'r+'] RUU RUU
['c+', '-', 'a+', 't+', '*', '*', 'd+', '*'] RRU RRU
['a+', 'c+', 'p+', 't+', '-', 'c+', '*', '*'] LDD LDD
['a+', 'd+', '*', '*', 'r+', 'a+', 'a+', 't+'] RDD RDD
['*', '-', '*', '*', '-', '*', 'r+', '*'] RRU RRU
['*', '*', 'a+', '*', '*', 'r+', 'd+', '*'] RRD RRD
['*', '*', '*', '-', 'a+', '*', 't+', '*'] RRU RRU
['d+', 'p+', '*', 'a+', '*', '*', 'r+', '*'] RRU RRU
['p+', 'd+', 'p+', '*', 'p+', 'r+', '*', 'c+'] RRD RRD
['p+', 'd+', '*', '*', '*', '*', '-', '*'] LLU LLU
['a+', 't+', 'd+', '*', 'p+', 'd+', '*', 't+'] RRD RRD
['r+', 'd+', 'd+', '*', '*', '*', '*', 'd+'] LUU LUU
['*', 'c+', '*', '-', '*', 'r+', '*', '*'] RRD RRD
['*', '*', '*', 'r+', '*', 'c+', 'c+', '*'] LDD LDD
['a+', 'c+', 'c+', 't+', '*', '*', '*', 'd+'] RUU RUU
['*', 'a+', '*', 'p+', '*', '-', '-', '*'] LLU LLU
['*', 'c+', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['r+', 'p+', 'p+', '*', '*', 'a+', 'r+', '*'] RRU RRU
['r+', '*', '*', '-', '*', 'r+', 'p+', '*'] RRD RRD
['*', 'c+', 'p+', 'd+', 'a+', 'r+', 'c+', '*'] RRD RRD
['*', '*', 't+', 't+', '*', 'p+', 'r+', 'd+'] RRU RRU
['*', '*', '*', 'r+', 'r+', '*', '*', '*'] RDD RDD
['t+', 't+', 'p+', '*', '*', '-', 'r+', '-'] RRU RRU
['*', '*', '*', 't+', '*', '*', 'c+', 't+'] RUU RUU
['*', '*', 'd+', 'r+', 'r+', 'r+', 'd+', 'a+'] RRD RRD
['d+', '*', '*', '*', '*', '-', '*', 'd+'] RUU RUU
['a+', 'a+', 'd+', '*', '-', 't+', '*', '*'] LLD LLD
['-', 'p+', '*', '*', 't+', '*', '*', '*'] RDD RDD
['r+', 'p+', 'd+', '-', 'd+', 'r+', 'r+', 'd+'] RRU RRU
['t+', 'd+', '*', '*', '-', 'd+', 'd+', 'r+'] RUU RUU
['*', '-', 'r+', '*', 'c+', 'r+', '*', 'r+'] RUU RUU
['*', 'd+', 'd+', '-', 'p+', '*', 't+', '*'] LLD LLD
['r+', '*', 'p+', '*', '*', 't+', '*', 'p+'] LUU LUU
['*', 'd+', '*', '*', 'a+', '*', '*', '*'] LLU LLU
['r+', 'r+', 'c+', 'c+', 'd+', 'd+', 'p+', '*'] LLU LLU
['-', 't+', '*', '*', 'a+', 'p+', '*', 'a+'] LLU LLU
['*', 'p+', '*', 'p+', 't+', '*', '*', '*'] RDD RDD
['-', '*', 'a+', '*', '*', '*', '*', 'p+'] LLD LLD
['*', 'a+', '*', '*', '*', 'r+', 't+', 'r+'] RUU RUU
['*', '*', '*', 'r+', '*', '*', 'd+', 't+'] LDD LDD
['*', '*', '*', 'p+', '*', '*', 'd+', '*'] RRU RRU
['*', '*', 'r+', '*', '*', 'c+', 't+', 'p+'] LLD LLD
['*', 't+', '*', '*', '-', 'p+', 'a+', 'p+'] LLU LLU
['*', 'a+', '*', '*', '*', 'd+', 't+', 'c+'] RRD RRD
['*', 't+', '*', '*', '*', '*', 'p+', '*'] LLU LLU
['*', 'r+', '-', '*', '*', '*', '*', '*'] LLU LLU
['*', 't+', 'r+', '*', '*', '*', 'p+', 't+'] LLD LLD
['*', '*', 'a+', 'c+', '*', '*', 'r+', 'c+'] RRU RRU
['*', '*', 'd+', '*', '*', '-', '*', '*'] LLD LLD
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['r+', '*', '*', 'd+', 'a+', '*', 'd+', '-'] LUU LUU
['t+', 'c+', 'r+', '*', '*', '*', 'c+', '*'] LLD LLD
['*', 'r+', '-', 't+', 'r+', 'r+', '*', '*'] RRD RRD
['*', '*', '*', 'c+', '*', 'a+', '*', '*'] RRD RRD
['c+', 'a+', '*', '*', 'c+', 'a+', '*', '*'] RRD RRD
['*', '*', '*', '*', '*', 'a+', '*', 'r+'] RUU RUU
['-', 'p+', '*', 't+', '*', '*', '*', '-'] LDD LDD
['*', '*', 'c+', '*', 'a+', '*', '*', '*'] RDD RDD
['d+', '-', 'r+', '*', '*', 't+', 'p+', '*'] LLD LLD
['c+', '*', 'c+', '*', 'd+', '-', 'd+', '*'] RRU RRU
['*', '*', '*', 't+', '*', '*', 'r+', '*'] RRU RRU
['*', 'p+', 't+', 't+', '*', 't+', '*', '*'] RRD RRD
['t+', 'r+', '*', 'r+', 'a+', '*', '*', '-'] LDD LDD
['*', '*', '-', 'p+', '-', '*', 'p+', '*'] RRU RRU
['*', '*', 'c+', '*', '*', '*', '*', 'c+'] RUU RUU
['*', 'p+', '*', 'a+', '*', '*', 't+', '*'] RRU RRU
